E, [2017-02-14T00:15:20.491613 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-02-14T00:15:20.492092 #4937] ERROR -- Kitchen: /usr/local/rvm/rubies/ruby-2.4.0/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-02-14T00:15:20.492544 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-02-14T00:15:20.493031 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-02-14T00:15:20.493470 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-02-14T00:15:20.494055 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2017-02-14T00:15:20.494646 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-02-14T00:15:20.495120 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-02-14T00:15:20.495573 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
E, [2017-02-14T00:15:20.495990 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/thor-0.19.4/lib/thor/base.rb:444:in `start'
E, [2017-02-14T00:15:20.496382 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-02-14T00:15:20.496772 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-02-14T00:15:20.497222 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `<top (required)>'
E, [2017-02-14T00:15:20.497668 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/bin/kitchen:22:in `load'
E, [2017-02-14T00:15:20.498081 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/bin/kitchen:22:in `<main>'
E, [2017-02-14T00:15:20.498502 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/bin/ruby_executable_hooks:15:in `eval'
E, [2017-02-14T00:15:20.498883 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/bin/ruby_executable_hooks:15:in `<main>'
E, [2017-02-14T00:15:20.499250 #4937] ERROR -- Kitchen: ----End Backtrace-----
